search_name,cleaned_province
องค์การบริหารส่วนตำบลปางมะผ้า,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่สวด,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่กิ๊,แม่ฮ่องสอน
เทศบาลตำบลแม่สะเรียง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลถ้ำลอด,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลผาบ่อง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่ลาหลวง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลห้วยผา,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่ฮี้,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลเวียงใต้,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลสันติคีรี,แม่ฮ่องสอน
เทศบาลตำบลแม่ยวม,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่นาเติง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลเมืองปอน,แม่ฮ่องสอน
เทศบาลตำบลเมืองยวมใต้,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลสบป่อง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลป่าโปง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลกองก๋อย,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่โถ,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่สามแลบ,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่ยวมน้อย,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลบ้านกาศ,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่นาจาง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลเสาหิน,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่คง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลเวียงเหนือ,แม่ฮ่องสอน
เทศบาลตำบลขุนยวม,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลนาปู่ป้อม,แม่ฮ่องสอน
เทศบาลตำบลแม่ลาน้อย,แม่ฮ่องสอน
เทศบาลเมืองแม่ฮ่องสอน,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลห้วยปูลิง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลห้วยโป่ง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลปางหมู,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลสบเมย,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลขุนแม่ลาน้อย,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลป่าแป๋,แม่ฮ่องสอน
เทศบาลตำบลปาย,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลหมอกจำแป่,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลเมืองแปง,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลทุ่งยาว,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่อูคอ,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลท่าผาปุ้ม,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลขุนยวม,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่เงา,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่คะตวน,แม่ฮ่องสอน
องค์การบริหารส่วนตำบลแม่เหาะ,แม่ฮ่องสอน
องค์การบริหารส่วนจังหวัดแม่ฮ่องสอน,แม่ฮ่องสอน
เทศบาลตำบลแม่ปาน,แพร่
องค์การบริหารส่วนตำบลบ้านกวาง,แพร่
องค์การบริหารส่วนตำบลท่าข้าม,แพร่
องค์การบริหารส่วนตำบลไผ่โทน,แพร่
องค์การบริหารส่วนตำบลทุ่งแค้ว,แพร่
องค์การบริหารส่วนตำบลร้องกวาง,แพร่
องค์การบริหารส่วนตำบลบ้านเหล่า,แพร่
เทศบาลตำบลเวียงต้า,แพร่
เทศบาลตำบลช่อแฮ,แพร่
องค์การบริหารส่วนตำบลดอนมูล,แพร่
เทศบาลตำบลห้วยอ้อ,แพร่
เทศบาลตำบลสอง,แพร่
เทศบาลตำบลหนองม่วงไข่,แพร่
เทศบาลเมืองแพร่,แพร่
เทศบาลตำบลแม่จั๊ว,แพร่
องค์การบริหารส่วนตำบลนาพูน,แพร่
เทศบาลตำบลสูงเม่น,แพร่
องค์การบริหารส่วนตำบลบ้านกาศ,แพร่
เทศบาลตำบลห้วยหม้าย,แพร่
เทศบาลตำบลบ้านปิน,แพร่
เทศบาลตำบลทุ่งกวาว,แพร่
องค์การบริหารส่วนตำบลวังหลวง,แพร่
องค์การบริหารส่วนตำบลป่าสัก,แพร่
องค์การบริหารส่วนตำบลเด่นชัย,แพร่
องค์การบริหารส่วนตำบลบ่อเหล็กลอง,แพร่
เทศบาลตำบลบ้านเวียง,แพร่
องค์การบริหารส่วนตำบลสะเอียบ,แพร่
องค์การบริหารส่วนตำบลหัวทุ่ง,แพร่
องค์การบริหารส่วนตำบลบ้านปิน,แพร่
องค์การบริหารส่วนตำบลตำหนักธรรม,แพร่
องค์การบริหารส่วนตำบลแม่ยางตาล,แพร่
เทศบาลตำบลแม่หล่าย,แพร่
เทศบาลตำบลเด่นชัย,แพร่
องค์การบริหารส่วนตำบลวังธง,แพร่
องค์การบริหารส่วนตำบลแม่ทราย,แพร่
